		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)
VARIABLES	LABELS	Own Home	Own Home	Own Home	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE	Year country sector FE	Year country subsector FE	Year country firm FE
																						
306.investortypedescriptionid	Investor Type Description ID = 306	-2.662***	-2.101***	-0.150***	-2.662***	-2.101***	-0.150***	-2.582***	-1.991***	-0.145***	-2.582***	-1.991***	-0.145***	-2.582***	-1.991***	-0.145***	-2.582***	-1.991***	-0.145***	-2.659***	-2.073***	-0.109***
		(0.0658)	(0.0614)	(0.0262)	(0.0658)	(0.0614)	(0.0262)	(0.0663)	(0.0613)	(0.0253)	(0.0663)	(0.0613)	(0.0253)	(0.0663)	(0.0613)	(0.0253)	(0.0663)	(0.0613)	(0.0253)	(0.0649)	(0.0599)	(0.0243)
402.investortypedescriptionid	Investor Type Description ID = 402	2.109***	2.809***	0.725***	2.109***	2.809***	0.725***	2.106***	2.900***	0.693***	2.106***	2.900***	0.693***	2.106***	2.900***	0.693***	2.106***	2.900***	0.693***	2.104***	2.874***	0.699***
		(0.724)	(0.670)	(0.276)	(0.724)	(0.670)	(0.276)	(0.714)	(0.655)	(0.260)	(0.714)	(0.655)	(0.260)	(0.714)	(0.655)	(0.260)	(0.714)	(0.655)	(0.260)	(0.719)	(0.660)	(0.257)
600.investortypedescriptionid	Investor Type Description ID = 600	-1.989***	-1.435***	-0.253*	-1.989***	-1.435***	-0.253*	-1.884***	-1.343***	-0.284	-1.884***	-1.343***	-0.284	-1.884***	-1.343***	-0.284	-1.884***	-1.343***	-0.284	-2.089***	-1.498***	-0.274*
		(0.395)	(0.366)	(0.151)	(0.395)	(0.366)	(0.151)	(0.508)	(0.466)	(0.186)	(0.508)	(0.466)	(0.186)	(0.508)	(0.466)	(0.186)	(0.508)	(0.466)	(0.186)	(0.404)	(0.371)	(0.145)
Constant	Constant	21.41***	21.31***	20.43***	21.41***	21.31***	20.43***	21.38***	21.27***	20.43***	21.38***	21.27***	20.43***	21.38***	21.27***	20.43***	21.38***	21.27***	20.43***	21.32***	21.23***	20.44***
		(0.0357)	(0.0331)	(0.0138)	(0.0357)	(0.0331)	(0.0138)	(0.0353)	(0.0324)	(0.0130)	(0.0353)	(0.0324)	(0.0130)	(0.0353)	(0.0324)	(0.0130)	(0.0353)	(0.0324)	(0.0130)	(0.0353)	(0.0325)	(0.0128)
																						
Observations		232,319	232,319	232,318	232,319	232,319	232,318	231,151	231,151	231,150	231,151	231,151	231,150	231,151	231,151	231,150	231,151	231,151	231,150	229,645	229,645	229,644
R-squared		0.508	0.578	0.929	0.508	0.578	0.929	0.514	0.591	0.936	0.514	0.591	0.936	0.514	0.591	0.936	0.514	0.591	0.936	0.506	0.584	0.937
Standard errors in parentheses																						
*** p<0.01, ** p<0.05, * p<0.1																						
