,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Perm Id,Country of Headquarters
337,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
338,ACLJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
339,ACLJ.J,0.0,1998-12-31T00:00:00Z,,
340,ACLJ.J,0.0,1998-12-31T00:00:00Z,5000052202,
341,ACLJ.J,,,,
342,ACLJ.J,15.6,1997-01-31T00:00:00Z,5001449709,
343,ACLJ.J,0.18,1997-12-31T00:00:00Z,,
344,ACLJ.J,0.1313,1997-03-31T00:00:00Z,5000001140,
345,ACLJ.J,0.05,1997-12-31T00:00:00Z,,
346,ACLJ.J,0.02,1997-12-31T00:00:00Z,,
347,ACLJ.J,0.02,1997-12-31T00:00:00Z,,
348,ACLJ.J,0.01,1997-06-30T00:00:00Z,4298409344,
349,ACLJ.J,0.0018,1997-12-31T00:00:00Z,,
350,ACLJ.J,,,,
351,ACLJ.J,,,,
352,ACLJ.J,,,,
353,ACLJ.J,,,,
354,ACLJ.J,,,,
355,ACTJ.J,5.369,1998-08-03T00:00:00Z,,South Africa
356,ACTJ.J,0.346,1998-08-03T00:00:00Z,5000854298,
357,ACTJ.J,0.274,1998-08-03T00:00:00Z,5043419846,
358,ACTJ.J,0.106,1998-08-03T00:00:00Z,,
359,ACTJ.J,5.37,1997-01-31T00:00:00Z,,
360,ACTJ.J,,,,
361,ACTJ.J,,,,
362,ACTJ.J,,,,
363,ADHJ.J,4.5287,1998-08-03T00:00:00Z,5000854298,South Africa
364,ADHJ.J,2.0749,1998-08-03T00:00:00Z,4297902883,
365,ADHJ.J,1.8319,1998-08-03T00:00:00Z,5055413527,
366,ADHJ.J,0.0042,1998-12-31T00:00:00Z,,
367,ADHJ.J,0.0034,1997-12-31T00:00:00Z,,
368,ADHJ.J,,,,
369,ADHJ.J,,,,
370,ADHJ.J,,,,
371,ADRJ.J,23.53,1998-07-01T00:00:00Z,,South Africa
372,ADRJ.J,6.54,1998-07-01T00:00:00Z,4297902883,
373,ADRJ.J,1.93,1998-12-31T00:00:00Z,,
374,ADRJ.J,0.03,1998-12-31T00:00:00Z,4298409344,
375,ADRJ.J,4.71,1997-12-31T00:00:00Z,,
376,ADRJ.J,,,,
377,ADRJ.J,,,,
378,ADRJ.J,,,,
379,ADWJ.J,,,,South Africa
380,AEGJ.J,,,,South Africa
381,AFEJ.J,10.4688,1998-08-03T00:00:00Z,5000854298,South Africa
382,AFEJ.J,2.7031,1998-08-03T00:00:00Z,4297902883,
383,AFEJ.J,1.9347,1998-08-03T00:00:00Z,,
384,AFEJ.J,1.2931,1998-12-31T00:00:00Z,,
385,AFEJ.J,0.0136,1998-12-31T00:00:00Z,5000052202,
386,AFEJ.J,0.0035,1998-12-31T00:00:00Z,,
387,AFEJ.J,0.0028,1998-06-30T00:00:00Z,,
388,AFEJ.J,0.0,1998-06-30T00:00:00Z,5000001140,
389,AFEJ.J,0.0,1998-03-31T00:00:00Z,5000071982,
390,AFEJ.J,0.0647,1997-03-31T00:00:00Z,5000001140,
391,AFEJ.J,0.044,1997-12-31T00:00:00Z,5000071982,
392,AFEJ.J,0.0036,1997-12-31T00:00:00Z,,
393,AFEJ.J,0.0018,1997-12-31T00:00:00Z,,
394,AFEJ.J,,,,
395,AFEJ.J,,,,
396,AFEJ.J,,,,
397,AFEJ.J,,,,
398,AFEJ.J,,,,
399,AFDS.ZI,,,,Zimbabwe
400,FMHL.ZI,,,,Zimbabwe
401,AFROIL.LG,,,,Nigeria
402,AFTJ.J,,,,South Africa
403,AGLEVEN.LG,,,,United Kingdom
404,AIICO.LG,,,,Nigeria
405,ACCS.NR,,,,Japan
406,ALEX.LG,,,,Nigeria
407,ALW.GH,0.715,1998-12-31T00:00:00Z,5000706029,Ghana
408,ALW.GH,0.8398,1997-06-30T00:00:00Z,5000706029,
409,AMEJ.J,14.027,1998-08-03T00:00:00Z,5055410695,South Africa
410,AMEJ.J,11.4498,1998-08-03T00:00:00Z,5001442178,
411,AMEJ.J,11.413,1998-08-03T00:00:00Z,,
412,AMEJ.J,11.321,1998-08-03T00:00:00Z,,
413,AMEJ.J,9.4433,1998-08-03T00:00:00Z,,
414,AMEJ.J,7.1976,1998-08-03T00:00:00Z,5000854298,
415,AMEJ.J,2.0268,1998-06-30T00:00:00Z,,
416,AMEJ.J,0.2804,1998-12-31T00:00:00Z,,
417,AMEJ.J,0.0,1998-09-30T00:00:00Z,,
418,AMEJ.J,,,,
419,AMEJ.J,,,,
420,AMEJ.J,,,,
421,AMEJ.J,,,,
422,AMEJ.J,,,,
423,AMEJ.J,,,,
424,AMEJ.J,,,,
425,AMEJ.J,,,,
426,AMEJ.J,,,,
427,AMSJ.J,41.2276,1998-08-03T00:00:00Z,4296948644,United Kingdom
428,AMSJ.J,22.17,1998-08-03T00:00:00Z,5000854298,
429,AMSJ.J,3.43,1998-08-03T00:00:00Z,4297902883,
