,Instrument,Exchange Name,Return On Assets - Actual,Company Name,Country of Headquarters,Date,Revenue from Business Activities - Total,Exchange Rate,Financial Period Absolute,Period End Date,Currency,Reported Currency,Organization Ultimate Parent,Country of Headquarters,NAICS Sector Name,NAICS Sector Code,NAICS Subsector Name,NAICS Subsector Code,SIC Industry Name,SIC Industry Group Name,Ultimate Parent Id,Price Close,Earnings Per Share - Mean,Net Income after Tax,Company Market Capitalization,P/E (Daily Time Series Ratio)
23176,WEZJ.J,,,,,1999-12-31T00:00:00Z,,,FY1999,12/31/99,USD,,,,,,,,,,,,,,,
23177,WEZJ.J,,,,,2000-12-31T00:00:00Z,,,FY2000,12/31/00,USD,,,,,,,,,,,,,,,
23178,WEZJ.J,,,,,2001-12-31T00:00:00Z,,,FY2001,12/31/01,USD,,,,,,,,,,,,,,,
23179,WEZJ.J,,,,,2002-12-31T00:00:00Z,,,FY2002,12/31/02,USD,,,,,,,,,,,,,,,
23180,WEZJ.J,,,,,2003-12-31T00:00:00Z,,,FY2003,12/31/03,USD,,,,,,,,,,,,,,,
23181,WEZJ.J,,,,,2004-12-31T00:00:00Z,,,FY2004,12/31/04,USD,,,,,,,,,,,0.424891003,,,,
23182,WEZJ.J,,44.233,,,2005-12-31T00:00:00Z,0,0.158541419,FY2005,12/31/05,USD,ZAR,,,,,,,,,,0.686695279,,-5094411.415,266979675.2,
23183,WEZJ.J,,-14.868,,,2006-12-31T00:00:00Z,0,0.143061516,FY2006,12/31/06,USD,ZAR,,,,,,,,,,1.34502924,-0.022176022,-2789842.632,615226494.3,
23184,WEZJ.J,,-12.892,,,2007-12-31T00:00:00Z,2619883.041,0.14619883,FY2007,12/31/07,USD,ZAR,,,,,,,,,,0.211864407,-0.010351433,-13275877.19,96908373.73,
23185,WEZJ.J,,-2.057,,,2008-12-31T00:00:00Z,0,0.105932203,FY2008,12/31/08,USD,ZAR,,,,,,,,,,0.285520974,,-2949046.61,167341693.9,
23186,WEZJ.J,,-2.857,,,2009-12-31T00:00:00Z,0,0.135317997,FY2009,12/31/09,USD,ZAR,,,,,,,,,,0.363663914,-0.010101808,-5268064.953,290182928.3,5.178216967
23187,WEZJ.J,,,,,2010-12-31T00:00:00Z,,,FY2010,12/31/10,USD,,,,,,,,,,,0.181029138,0,45687400.56,294684129.5,
23188,WEZJ.J,,,,,2011-12-31T00:00:00Z,,,FY2011,12/31/11,USD,,,,,,,,,,,0.072179099,,-44865716.06,117495090.1,25.53369611
23189,WEZJ.J,,,,,2012-12-31T00:00:00Z,,,FY2012,12/31/12,USD,,,,,,,,,,,0.075619795,-0.002943803,606541.0829,123095948.7,
23190,WEZJ.J,,,,,2013-12-31T00:00:00Z,,,FY2013,12/31/13,USD,,,,,,,,,,,0.070897458,-0.002943803,-980760.0268,115408800.6,16.35747058
23191,WEZJ.J,,,,,2014-12-31T00:00:00Z,0,0.086460315,FY2014,12/31/14,USD,ZAR,,,,,,,,,,0.026517479,-0.002862869,-22739927.37,43165869.66,
23192,WEZJ.J,,,,,2015-12-31T00:00:00Z,0,0.064676778,FY2015,12/31/15,USD,ZAR,,,,,,,,,,0.055348807,-0.005573273,-36011059.73,90098285.21,
23193,WEZJ.J,,,,,2016-12-31T00:00:00Z,0,0.072827377,FY2016,12/31/16,USD,ZAR,,,,,,,,,,0.043698513,-0.014926588,22043681.86,71133621.26,2.726721874
23194,WEZJ.J,,,,,2017-12-31T00:00:00Z,0,0.080923172,FY2017,12/31/17,USD,ZAR,,,,,,,,,,0.029273801,-0.030394367,-7623124.605,47652684.78,
23195,WEZJ.J,,,,,2018-12-31T00:00:00Z,0,0.069699525,FY2018,12/31/18,USD,ZAR,,,,,,,,,,0.036444972,-0.016071666,-6181511.504,59326111.01,23.05605787
23196,WEZJ.J,,,,,2019-12-31T00:00:00Z,0,0.071460729,FY2019,12/31/19,USD,ZAR,,,,,,,,,,0.034041858,-0.016878321,6917612.926,55414257.34,
23197,WEZJ.J,,,,,2020-12-31T00:00:00Z,0,0.068083716,FY2020,12/31/20,USD,ZAR,,,,,,,,,,0.07003458,-0.021157786,3525510.968,114004183.6,1.398269641
23198,WEZJ.J,,,,,2021-12-31T00:00:00Z,0,0.062530875,FY2021,12/31/21,USD,ZAR,,,,,,,,,,0.061748724,-0.026688373,-1533257.046,100516243.5,
23199,ARTJ.J,JOHANNESBURG STOCK EXCHANGE,,Argent Industrial Ltd,South Africa,1997-03-31T00:00:00Z,,,FY1997,3/31/97,USD,,Argent Industrial Ltd,South Africa,Manufacturing,31-33,Primary Metal Manufacturing,331,,,4295888826,0.421463816,,,,
23200,ARTJ.J,,,,,1998-03-31T00:00:00Z,,,FY1998,3/31/98,USD,,,,,,,,,,,0.161413644,,,,
23201,ARTJ.J,,,,,1999-03-31T00:00:00Z,34150532.39,0.162561977,FY1999,3/31/99,USD,ZAR,,,,,,,,,,0.211244719,,2219783.793,8304255.297,
23202,ARTJ.J,,,,,2000-03-31T00:00:00Z,32754390,0.153362472,FY2000,3/31/00,USD,ZAR,,,,,,,,,,0.145023072,,2175446.668,5871413.949,
23203,ARTJ.J,,,,,2001-03-31T00:00:00Z,35259383.75,0.124494242,FY2001,3/31/01,USD,ZAR,,,,,,,,,,0.133667502,,1986803.61,5936040.1,4.153039506
23204,ARTJ.J,,,,,2002-03-31T00:00:00Z,32803530.45,0.088261253,FY2002,3/31/02,USD,ZAR,,,,,,,,,,0.386190755,,2005030.891,20335037.55,4.474576271
23205,ARTJ.J,,,,,2003-03-31T00:00:00Z,78872472.49,0.126930937,FY2003,3/31/03,USD,ZAR,,,,,,,,,,0.521348315,,5445083.33,34977285.02,3.980053982
23206,ARTJ.J,,,,,2004-03-31T00:00:00Z,96472118.07,0.159553251,FY2004,3/31/04,USD,ZAR,,,,,,,,,,1.771245191,,9786517.75,118832930.2,9.021700848
23207,ARTJ.J,,15.08,,,2005-03-31T00:00:00Z,120480410.2,0.16024357,FY2005,3/31/05,USD,ZAR,,,,,,,,,,1.889813714,0.214964862,13651149.75,143235087.4,8.583134716
23208,ARTJ.J,,13.36,,,2006-03-31T00:00:00Z,162707777.4,0.162707452,FY2006,3/31/06,USD,ZAR,,,,,,,,,,2.314735336,,17522290.92,186248253.1,10.3643538
23209,ARTJ.J,,14.382,,,2007-03-31T00:00:00Z,179048618.8,0.138121547,FY2007,3/31/07,USD,ZAR,,,,,,,,,,2.828947368,,19098204.42,265822726.9,9.960620801
23210,ARTJ.J,,12.27,,,2008-03-31T00:00:00Z,201599876.8,0.123228589,FY2008,3/31/08,USD,ZAR,,,,,,,,,,0.900423729,,24909057.3,86882430.35,3.810189792
23211,ARTJ.J,,11.469,,,2009-03-31T00:00:00Z,204589324.3,0.104951617,FY2009,3/31/09,USD,ZAR,,,,,,,,,,1.248985115,,12010033.37,120515329.4,35.80017066
23212,ARTJ.J,,,,,2010-03-31T00:00:00Z,201166758.2,0.137362637,FY2010,3/31/10,USD,ZAR,,,,,,,,,,1.409197666,,1137912.088,135974335.4,20.43956044
23213,ARTJ.J,,,,,2011-03-31T00:00:00Z,259380838.4,0.147806551,FY2011,3/31/11,USD,ZAR,,,,,,,,,,0.768753875,,8017766.347,74177526.47,9.810126582
23214,ARTJ.J,,,,,2012-03-31T00:00:00Z,234928888.9,0.130718954,FY2012,3/31/12,USD,ZAR,,,,,,,,,,0.84011738,,9156209.15,81063434.25,9.024353043
23215,ARTJ.J,,,,,2013-03-31T00:00:00Z,200751830.8,0.108489287,FY2013,3/31/13,USD,ZAR,,,,,,,,,,0.507322676,,8274694.874,48951871.97,10.30506893
23216,ARTJ.J,,,,,2014-03-31T00:00:00Z,178710002.4,0.09503445,FY2014,3/31/14,USD,ZAR,,,,,,,,,,0.514438873,,-18347065.81,49638517.53,
23217,ARTJ.J,,,,,2015-03-31T00:00:00Z,147718692,0.082470826,FY2015,3/31/15,USD,ZAR,,,,,,,,,,0.258707111,,2218382.747,24858247.13,11.75467983
23218,ARTJ.J,,,,,2016-03-31T00:00:00Z,115616207.3,0.067733698,FY2016,3/31/16,USD,ZAR,,,,,,,,,,0.324081829,,3775273.136,30893035.52,6.267958758
23219,ARTJ.J,,,,,2017-03-31T00:00:00Z,137791977.5,0.074517314,FY2017,3/31/17,USD,ZAR,,,,,,,,,,0.323692686,,4726856.785,30599769.53,
23220,ARTJ.J,,,,,2018-03-31T00:00:00Z,154543741,0.084523709,FY2018,3/31/18,USD,ZAR,,,,,,,,,,0.338042698,,-15433184.01,29129110.88,3.470582342
23221,ARTJ.J,,,,,2019-03-31T00:00:00Z,118872984.6,0.069048852,FY2019,3/31/19,USD,ZAR,,,,,,,,,,0.41089919,,5901191.093,30810832.84,5.690083422
