,Instrument,Ultimate Parent Percent of Shares Out Held,Date,Investor Id,Investor Type Description ID,Investor Perm Id,Country of Headquarters,Fund Investment Style Code
362,ACLJ.J,,,2002868,113,,,Emerg. Mkts.
363,ACLJ.J,,,2002823,107,,,Emerg. Mkts.
364,ACLJ.J,37.65,1999-09-30T00:00:00Z,2676461,101,5000854298,,Specialty
365,ACLJ.J,12.72,1999-09-30T00:00:00Z,2657747,107,5001449709,,GARP
366,ACLJ.J,10.8,1999-09-30T00:00:00Z,2637186,113,4297902883,,Core Value
367,ACLJ.J,0.4275,1999-12-31T00:00:00Z,2006918,113,5001218765,,Specialty
368,ACLJ.J,0.36,1999-09-30T00:00:00Z,2500375,107,,,Emerg. Mkts.
369,ACLJ.J,0.24,1999-12-31T00:00:00Z,2782850,107,,,Emerg. Mkts.
370,ACLJ.J,0.22,1999-12-31T00:00:00Z,2003614,113,,,Specialty
371,ACLJ.J,0.18,1999-12-31T00:00:00Z,2005211,107,,,
372,ACLJ.J,0.154,1999-12-31T00:00:00Z,2004197,107,4296293277,,Emerg. Mkts.
373,ACLJ.J,0.1,1999-12-31T00:00:00Z,2005054,107,,,Index
374,ACLJ.J,0.1,1999-12-31T00:00:00Z,2002484,107,5000152801,,International
375,ACLJ.J,0.0043,1999-12-31T00:00:00Z,2006038,113,,,Index
376,ACLJ.J,0.0013,1999-12-31T00:00:00Z,2782849,107,,,Index
377,ACLJ.J,0.0,1999-12-31T00:00:00Z,2784485,107,,,Emerg. Mkts.
378,ACLJ.J,0.0,1998-12-31T00:00:00Z,2783224,107,,,Emerg. Mkts.
379,ACLJ.J,0.0,1999-03-31T00:00:00Z,2005218,107,4298409344,,Emerg. Mkts.
380,ACLJ.J,0.0,1998-06-30T00:00:00Z,2003974,113,5000001140,,Core Value
381,ACLJ.J,0.0,1998-12-31T00:00:00Z,2002868,107,,,Core Value
382,ACLJ.J,0.0,1998-12-31T00:00:00Z,2002823,107,5000052202,,Emerg. Mkts.
383,ACLJ.J,,,3270352,113,,,Specialty
384,ACLJ.J,,,2785625,107,,,Core Value
385,ACLJ.J,,,2660881,113,,,Core Value
386,ACLJ.J,,,2448219,113,,,Growth
387,ACLJ.J,,,2399161,107,,,Emerg. Mkts.
388,ACLJ.J,,,2132753,107,,,International
389,ACLJ.J,,,2132706,107,,,Emerg. Mkts.
390,ACLJ.J,,,2007596,113,,,Specialty
391,ACLJ.J,,,2005217,107,,,Emerg. Mkts.
392,ACLJ.J,,,2003084,107,,,Specialty
393,ACLJ.J,,,,107,,,GARP
394,ACLJ.J,,,,,,,Hedge Fund
395,ACLJ.J,,,,,,,
396,ACLJ.J,,,,,,,Core Growth
397,ACLJ.J,,,,,,,Specialty
398,ACLJ.J,,,,,,,International
399,ACLJ.J,,,,,,,Emerg. Mkts.
400,ACLJ.J,,,,,,,Specialty
401,ACLJ.J,,,,,,,Core Value
402,ACLJ.J,,,,,,,GARP
403,ACLJ.J,,,,,,,Emerg. Mkts.
404,ACLJ.J,,,,,,,Specialty
405,ACLJ.J,,,,301,,,Index
406,ACLJ.J,,,,114,,,Core Growth
407,ACLJ.J,,,,301,,,Specialty
408,ACLJ.J,,,,113,,,Growth
409,ACLJ.J,,,,302,,,Growth
410,ACLJ.J,,,,113,,,Emerg. Mkts.
411,ACLJ.J,,,,113,,,Emerg. Mkts.
412,ACLJ.J,,,,113,,,Emerg. Mkts.
413,ACLJ.J,,,,113,,,Growth
414,ACLJ.J,,,,107,,,GARP
415,ACLJ.J,,,,107,,,Growth
416,ACLJ.J,,,,113,,,Core Growth
